gene_name,mad
RBP4,2.9598026513313913
FABP7,2.854839631213543
CYP4A11,2.5175486303023336
SLPI,2.4617910471827242
SAA1,2.3982422567358657
SLC22A12,2.384689244065223
REN,2.3761971108446316
KRT19,2.3282748598482526
SLC34A2,2.3087426645950653
C5orf46,2.266280580236557
MYEOV,2.2348957871937802
REG1A,2.193290609384656
PNCK,2.179688954644374
PIGR,2.1753339922631993
PROM1,2.166477004186912
SLC22A6,2.1636831631441247
SFRP2,2.1586308980156277
RPS4Y1,2.145947808219044
HABP2,2.1423913498969123
C10orf99,2.121525405492429
TMEM130,2.1069578798365747
SLC5A1,2.0935672115384962
HMGCS2,2.0871473256578543
TMEM174,2.0477432721588866
FOSB,2.032787117601341
MT3,2.030802626545271
NPTX2,2.0001559080393676
ALDOB,1.9796660391399783
PRIMA1,1.9525026741678664
SLC13A1,1.9484668877164335
TGFBI,1.938958754567916
SCGN,1.9343339424537103
PPP1R1A,1.8993112955695097
SLC5A8,1.8931556072700948
FTCD,1.8924482817652069
SLC5A12,1.8826940650554014
PCK1,1.8361333402450501
SPON1,1.8297871565183943
LUM,1.820380488959426
C7,1.8137255719965784
SLC6A19,1.7972885696908745
EIF1AY,1.7900708043816684
NEFL,1.7664450752382264
MMP7,1.7644812715223783
CAPN6,1.7148377278073852
SLC16A9,1.7096022420507273
PRAME,1.6913782562184423
VNN1,1.6784916033773047
HAO2,1.6783128858841976
UGT3A1,1.6614735514675312
CCL21,1.6436102192312678
VIL1,1.6427223348477744
SPOCK1,1.6415291601400868
C1QL1,1.6384664320152456
CSDC2,1.6383134317353778
MGAM,1.6101069408178228
KISS1R,1.6048268170976208
SLC10A2,1.597682367024638
SLC16A12,1.594330011853967
CCDC146,1.594202669066413
SPINK13,1.586552654980398
DCN,1.5743279555954761
CDHR2,1.5672644335875616
MCHR1,1.5625763965654387
SYT13,1.5571762755059808
LGI4,1.5530960252112638
MT1G,1.5519902405551718
PCSK1N,1.5496473737817134
CP,1.5494331621899669
NPR3,1.546180041059066
CCL18,1.538548855769337
BIRC7,1.5362939369412092
CLIC6,1.5356085450960526
HLA-DQA2,1.5334407402795698
MAP7D2,1.5280943517165988
SPINK1,1.5236431418018381
TMEM252,1.5228873789966686
GUCA2B,1.519554207146839
UCHL1,1.516056682423752
PCOLCE2,1.5107732933982705
AOC1,1.5089235491177417
TMEM72,1.5006736704394705
NKD2,1.499718332104543
USP9Y,1.4972470646980645
SMIM32,1.4971089950591288
PTGER3,1.49553356291926
FABP4,1.4940288679490785
GSTM1,1.4915976723393718
DDX3Y,1.4914632068950988
LRG1,1.4773275245704234
ASPG,1.473746371849157
JCHAIN,1.4728291477786009
AOX1,1.4704977156748438
SLC6A18,1.4675013119980074
CDH4,1.4615791889134893
LRRC19,1.4577713356173587
SLC17A4,1.4569087170236408
IL20RB,1.4537799193511263
FGB,1.4535918147298452
UTY,1.4534424852311398
MAL,1.4503776419842973
ALPI,1.4466204701711256
GSTA2,1.4422917415015668
HAVCR1,1.4405287619609846
ISLR,1.439900668943762
TMEM82,1.4346985377858883
CA4,1.4280991671938705
ERAP2,1.4207841597571553
MT1E,1.4050355331289968
PPP1R14D,1.404208043139632
MFAP4,1.3928865439263274
PDK4,1.3919796134238345
SLC23A3,1.3912075865221172
PGF,1.3878085439856136
SLC17A3,1.379227043666674
EFEMP1,1.3626136870799028
ABO,1.362161281506503
UGT1A9,1.3599069724822153
KCNK3,1.3564268273712674
TSPAN1,1.3514606537403226
CLEC18C,1.3459211526313317
KDM5D,1.3454874539319048
NKAIN4,1.3437431201285999
ANXA13,1.3434651965786961
UPK1B,1.3434367247869283
NAPSA,1.3431412619717038
ZNF385B,1.340820527492343
SLC27A2,1.3397340956293835
C6,1.337940348309195
DDC,1.3323638628216878
LRP2,1.3318906483313855
CDHR1,1.330686513678802
SORCS3,1.3302407467551545
ALDH8A1,1.3246411467873296
MIOX,1.3189988516287139
PKLR,1.3179204222955843
ZFY,1.3178049282029485
PRELP,1.3126933375380618
SCGB1D2,1.3039019531746932
DHDH,1.302607917183967
CXCL13,1.3023454614056171
EDN2,1.3011847353266197
PTN,1.3000298327307136
ANGPTL3,1.2979083688028665
COL1A1,1.2966414059820384
SYT9,1.2948721184461724
SERPINA6,1.2940369379241972
LIN7A,1.2933683358526693
CCL19,1.2910899855764828
GFRA1,1.2888744107690533
RAB42,1.287668554720737
LTF,1.287607529169363
C2,1.2844837644375016
AGTR1,1.2810794139604162
SORCS2,1.2807352956511342
SLC44A4,1.2802077313861862
MAPT,1.277881404713252
CTHRC1,1.277488368817195
PTHLH,1.2717972880710455
PHYHIPL,1.271137462379552
HLA-G,1.2704728857730174
COL3A1,1.270275294164489
SLC6A3,1.2688153149594763
BBOX1,1.264827711824835
THBS2,1.2639589799493143
ENPP2,1.2611513417337834
FMOD,1.2590789340607174
ALDH1L1,1.2584399701012354
GLYATL1,1.2574944059068902
SLC17A1,1.256059566413212
DCAF12L1,1.2556959662000753
MGARP,1.2510043365246226
ALPL,1.2468198314349683
INSYN2B,1.2451221167974302
MMP9,1.2417402255212118
SLC22A11,1.239620397548408
PRR15L,1.2361840954605565
TFPI2,1.235459601308131
RARRES1,1.2345668350958787
KCNJ15,1.232973449974219
TEX11,1.2318214778363736
CLEC18B,1.2285651932554904
TNFAIP6,1.2283227971030648
PNMA8A,1.227861409232211
PSAT1,1.225154836457752
SLC5A10,1.2227811149857373
RAMP1,1.2195292509991602
SMOC2,1.2172775620364038
AZGP1,1.2095897048039825
TINAG,1.2089711420353164
ADSS1,1.2080979655053445
AKR7A3,1.2080167916820086
DES,1.2053155459049298
GPD1,1.2048839997123757
PEG10,1.20451696581519
COL1A2,1.200345377064206
SLC15A1,1.2003120489064794
DEFB1,1.1994156167998273
HBB,1.1990321275453546
CDCP1,1.19877499064693
MMRN1,1.1985028453797648
FCAMR,1.197689853858447
TPPP,1.1957874768483667
VCAN,1.195238077707379
NLGN4Y,1.194044332599523
SLC2A2,1.193881319373809
CHST9,1.1916715956777564
ACTG2,1.1902618481818914
ACE2,1.1875848647755802
SST,1.1859948238292697
B3GNT3,1.183539498166844
CCL20,1.18230422207988
BSPRY,1.1808136415503419
FOS,1.1794373971235954
SLC47A1,1.1793414959822028
DPEP1,1.1788643103191996
MYL3,1.1718720461944803
CCDC8,1.1718140089292581
LAD1,1.1704666672656772
PLPPR5,1.1703895627217695
CLEC18A,1.1682265545129722
EGR1,1.167258279450654
G6PC,1.165450171159104
DOC2A,1.1616158855289895
AEBP1,1.161591632025952
SIM1,1.1611303302349925
TUBA3D,1.1608756900844388
TM4SF5,1.1606442396989753
PCDH10,1.1604200137094842
CXCL9,1.1602560075526487
A1CF,1.1599264879748286
MOXD1,1.1596848791679972
CXCL1,1.1584267978110194
NAT8,1.1581877074594917
CES4A,1.1572062667110616
HRH2,1.1552283017483767
PTPRD,1.1550380408636598
PABPC1L,1.1541164352167603
EDNRB,1.153805336079035
POSTN,1.1536885087192168
SERPINF1,1.1533190913509621
LIPC,1.1528006544548348
SCD5,1.1524271552943657
PODN,1.1504616865706874
PREX2,1.1488104960360865
ROR2,1.1474259092532866
FMO2,1.146706456385453
AGXT2,1.145474477607122
DDIT4L,1.145308006425394
CLDN2,1.1450485342701056
SCN4B,1.1431694079083168
NR4A1,1.1430761387933588
NTM,1.1424568572006124
C1orf210,1.1414425191170485
EFNA5,1.1413695304992189
FAM151A,1.1411421008132834
OR2I1P,1.1377863323999984
FLRT3,1.1352525589981104
CPXM1,1.1352183416716577
CES3,1.1347702537702062
F10,1.1341571293019332
IL17RB,1.1331362025027714
ABI3BP,1.1311089429366996
DPP4,1.1294872092604935
TNC,1.127368461324683
SYNDIG1,1.1272878956315715
FGA,1.1271498510760654
PPP1R14C,1.1270834827888017
PLTP,1.1270263464432695
ARSF,1.1246733572244607
PGGHG,1.123302722570056
SCIN,1.1217053468393186
PLA2G12B,1.1209741969642049
LGALS4,1.1204371799235666
SLC26A9,1.119377489486936
CUBN,1.1193565286150982
SPX,1.1191687591143533
GOLGA8A,1.1187861524505114
ALOX5,1.1184390460019324
STEAP3,1.115913557617875
BMP4,1.115196263382145
CNN1,1.1143470027186089
WDR72,1.1139689626145923
AGMAT,1.1138212786877881
SLC6A13,1.1137349494574567
F13A1,1.112870483518841
PTGES,1.1107164528482163
FBP1,1.1086721204382664
F2RL3,1.1083224746514744
GSTA1,1.1078826600528293
MEI4,1.1078486797358742
MASP1,1.1078444515292976
MME,1.1070763144443179
CD36,1.1061926460966411
RNF186,1.1041616281794004
HSD11B2,1.103700547308489
LYZ,1.1027723757979215
GDF6,1.102709764156594
TRHDE,1.101442700131292
C16orf74,1.1004672762406953
RTN4RL1,1.1000656330460052
AIF1L,1.0987939695874376
C1QL4,1.0984655802712733
THPO,1.0975839102644969
PRODH,1.0972667909481078
COL5A1,1.0967786914384883
ACAN,1.0952696724758746
PTH1R,1.093236365050314
GRIK3,1.0927951035563763
TMEM255A,1.0910338196033162
AQP1,1.0903667345454906
PRODH2,1.0894845924382017
RCAN2,1.0885506030243102
TMEM119,1.0869903607924343
SERPINE1,1.0868365208754014
TMEM92,1.0863005224088749
CYP2J2,1.08551485637161
EMILIN1,1.08446245805961
PHGDH,1.0841109192952105
CCDC80,1.0836929202338883
HAPLN1,1.082509088619203
INHBB,1.082463401245053
GPAT3,1.0806110447818873
FBLN2,1.0801336873215295
CHI3L1,1.0789324784138272
USP2,1.0782939522916162
SLCO2A1,1.0774403824259249
KCNJ3,1.076459608698936
SEMA3C,1.075780143004775
HPGD,1.0756940663730261
LDHD,1.0752693461221696
TACSTD2,1.0750582966980438
COL6A3,1.0750355232888267
LAMC2,1.0738939974747783
